S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
95,2022-02-03,131,NABIL,Nabil Bank Limited,1141.5000,1143.5000,1121.0000,1122.0000,61153,68883392.7000,1121.1000,1740.0000,1086.0000,2022-02-03T14:59:52.239448,1122.0000,926,1126.41,206153.86
96,2022-02-03,137,EBL,Everest Bank Limited,590.0000,595.0000,585.0000,585.0000,29116,17151039.5000,585.0000,864.0000,515.0000,2022-02-03T14:59:18.781875,585.0000,162,589.05,55149.94
97,2022-02-03,138,BOKL,Bank of Kathmandu Ltd.,300.0000,305.0000,292.0000,292.2000,27569,8125811.0000,294.5000,433.2000,240.2000,2022-02-03T14:59:30.862516,292.2000,265,294.74,31043.31
98,2022-02-03,140,MBL,Machhapuchhre Bank Limited,330.0000,335.0000,325.0000,325.0000,87824,28866394.6000,330.0000,455.0000,279.0000,2022-02-03T14:59:58.951026,325.0000,435,328.68,33335.76
99,2022-02-03,181,EIC,Everest Insurance Co. Ltd.,740.0000,754.8000,730.5000,738.0000,22447,16679481.8000,734.5000,885.0000,526.0000,2022-02-03T14:59:59.779434,738.0000,133,743.06,8735.00
100,2022-02-03,182,PIC,Premier Insurance Co. Ltd.,1020.0000,1020.0000,995.0000,995.0000,13642,13712512.2000,1000.0000,1399.0000,817.0000,2022-02-03T14:59:49.858679,995.0000,135,1005.16,12215.46
101,2022-02-03,187,NLIC,Nepal Life Insurance Co. Ltd.,1680.1000,1703.0000,1624.0000,1630.0000,120203,198136578.2000,1670.0000,2470.0000,1270.0000,2022-02-03T14:59:58.952801,1630.0000,1411,1648.34,117359.52
102,2022-02-03,189,PICL,Prudential Insurance Co. Ltd.,766.0000,774.9000,754.0000,754.0000,20917,15973903.0000,769.0000,994.0000,543.0000,2022-02-03T14:59:56.973999,754.0000,93,763.68,8358.44
103,2022-02-03,357,PCBL,Prime Commercial Bank Ltd.,362.0000,367.5000,357.6000,359.0000,43183,15597792.7000,359.9000,540.0000,310.0000,2022-02-03T14:59:55.592734,359.0000,360,361.20,66976.20
104,2022-02-03,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,1180.0000,1192.0000,1159.0000,1159.0000,6657,7776126.6000,1175.0000,1685.0000,890.0000,2022-02-03T14:58:17.577524,1159.0000,79,1168.11,5958.41
105,2022-02-03,591,SHPC,Sanima Mai Hydropower Ltd.,463.0000,469.0000,453.0000,455.0000,214167,99004146.6000,454.0000,675.0000,326.0000,2022-02-03T14:59:58.729132,455.0000,1064,462.27,14056.09
106,2022-02-03,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,16707.0000,16823.0000,16200.0000,16401.0000,1080,17820969.0000,16380.0000,20185.0000,11310.0000,2022-02-03T14:59:54.640919,16401.0000,32,16500.89,29133.03
107,2022-02-03,2760,UMHL,United Modi Hydropower Ltd.,446.7000,456.0000,435.0000,437.0000,213694,95841647.5000,442.0000,646.6000,152.0000,2022-02-03T14:59:57.695742,437.0000,1044,448.49,5025.50
108,2022-02-03,2765,LEMF,Laxmi Equity Fund,10.5100,10.7200,10.5100,10.6500,40690,433728.9000,10.7200,19.3400,9.1600,2022-02-03T14:57:20.461229,10.6500,18,10.65,1331.25
109,2022-02-03,2789,JOSHI,Joshi Hydropower Development Company Ltd,341.7000,349.8000,333.2000,334.0000,132280,45437257.6000,335.0000,507.0000,113.0000,2022-02-03T14:59:58.363427,334.0000,732,343.49,1240.48
110,2022-02-03,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,431.0000,434.0000,415.0000,417.0000,37300,15782234.8000,423.0000,550.0000,281.0000,2022-02-03T14:59:54.981077,417.0000,452,423.11,13698.45
111,2022-02-03,3946,CHDC,CEDB Hydropower Development Company Limited,1093.0000,1130.0000,1070.1000,1122.0000,66295,73318641.7000,1090.0000,1415.0000,416.0000,2022-02-03T14:59:57.307338,1122.0000,1161,1105.94,9418.18
112,2022-02-03,8025,SPC,Samling Power Company Limited,669.0000,692.0000,669.0000,676.0000,11682,7921640.0000,679.0000,745.0000,296.3000,2022-02-03T14:59:09.781847,676.0000,360,678.10,3380.00
113,2022-02-03,135,SBI,Nepal SBI Bank Limited,400.0000,401.0000,391.0000,398.0000,41619,16509480.9000,397.5000,465.0000,331.3000,2022-02-03T14:59:55.203710,398.0000,133,396.68,39106.89
114,2022-02-03,145,SBL,Siddhartha Bank Limited,456.0000,465.0000,450.1000,455.0000,64627,29655334.4000,456.0000,605.0000,370.0000,2022-02-03T14:59:39.367018,455.0000,328,458.86,56986.14
115,2022-02-03,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,1318.0000,1318.0000,1288.0000,1290.0000,17049,22187288.5000,1300.0000,2420.0000,1019.0000,2022-02-03T14:59:51.542981,1290.0000,243,1301.38,17898.73
116,2022-02-03,176,NICL,Nepal Insurance Co. Ltd.,892.0000,920.0000,892.0000,903.3000,66976,61001787.1000,892.0000,1294.0000,640.0000,2022-02-03T14:59:43.809503,903.3000,435,910.80,11222.04
117,2022-02-03,192,SICL,Shikhar Insurance Co. Ltd.,2005.0000,2030.0000,1980.0000,1986.0000,134452,268068044.7000,1997.0000,3021.0000,1387.0000,2022-02-03T14:59:57.967402,1986.0000,2235,1993.78,34924.29
118,2022-02-03,204,GUFL,Gurkhas Finance Ltd.,803.1000,816.0000,775.0000,778.0000,63408,50139176.1000,802.0000,1500.0000,380.0000,2022-02-03T14:59:55.069411,778.0000,641,790.73,6752.99
119,2022-02-03,210,CIT,Citizen Investment Trust,3484.0000,3484.0000,3400.0000,3410.0000,13731,47160274.5000,3416.0000,5029.0000,2625.0000,2022-02-03T14:59:11.052697,3410.0000,270,3434.58,111507.01
120,2022-02-03,213,BNT,Bottlers Nepal (Terai) Limited,14700.0000,14785.0000,14500.0000,14500.0000,360,5258834.0000,14696.0000,17670.0000,8328.0000,2022-02-03T14:59:58.134348,14500.0000,31,14607.87,17545.00
121,2022-02-03,245,CFCL,Central Finance Co. Ltd.,517.0000,525.0000,497.0000,500.0000,40108,20413249.7000,507.0000,814.9000,183.0000,2022-02-03T14:59:16.397556,500.0000,338,508.95,4744.38
122,2022-02-03,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,1375.0000,1382.0000,1352.2000,1352.2000,5041,6904294.0000,1360.0000,2275.0000,1097.0000,2022-02-03T14:56:47.544174,1352.2000,67,1369.62,15173.98
123,2022-02-03,273,ICFC,ICFC Finance Limited,743.0000,760.0000,730.0000,732.0000,135297,100834588.2000,734.9000,1176.8000,283.0000,2022-02-03T14:59:59.851347,732.0000,788,745.28,8247.39
124,2022-02-03,393,PLIC,Prime Life Insurance Company Limited,804.0000,815.0000,788.0000,793.0000,20473,16325841.8000,804.0000,1133.0000,570.0000,2022-02-03T14:59:39.222118,793.0000,149,797.43,22042.35
125,2022-02-03,459,KSBBL,Kamana Sewa Bikas Bank Limited,555.0000,565.9000,538.1000,539.0000,99985,55390046.2000,549.0000,866.9000,284.0000,2022-02-03T14:59:57.255739,539.0000,744,553.98,16938.49
126,2022-02-03,472,SADBL,Shangrila Development Bank Ltd.,436.0000,443.0000,426.0000,427.0000,96366,41826770.6000,428.4000,595.0000,197.0000,2022-02-03T14:59:57.924883,427.0000,419,434.04,12855.56
127,2022-02-03,474,MNBBL,Muktinath Bikas Bank Ltd.,569.9000,579.0000,560.0000,560.0000,50855,28923842.9000,567.9000,850.0000,377.0000,2022-02-03T14:59:58.586065,560.0000,371,568.75,31680.21
128,2022-02-03,605,CCBL,Century Commercial Bank Ltd.,262.0000,262.0000,255.2000,256.5000,83825,21618902.6000,258.2000,324.0000,212.0000,2022-02-03T14:59:25.458189,256.5000,390,257.90,24505.78
