Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD,Bollinger Band Signal
2021-07-06,149.229996,149.229996,148.479996,148.979996,148.598999,1973300,73.73742979578446,Down,Inbetween Bollingers Band
2021-07-07,149.589996,149.619995,148.089996,149.490005,149.107712,2286300,76.3329374804841,Down,Inbetween Bollingers Band
2021-07-08,148.070007,148.960007,147.279999,148.830002,148.449387,1891700,66.42206740020953,Down,Inbetween Bollingers Band
2021-07-09,149.490005,150.229996,148.919998,150.029999,149.646317,1596800,73.67277101052414,Down,Inbetween Bollingers Band
2021-07-12,150.649994,151.0,149.169998,149.509995,149.12764,1480500,66.42156368387802,Down,Inbetween Bollingers Band
2021-07-13,149.110001,149.539993,148.190002,149.270004,148.88826,1456500,63.07866310866274,Down,Inbetween Bollingers Band
2021-07-14,149.860001,149.869995,148.460007,148.630005,148.249908,1218500,54.539000892016794,Down,Inbetween Bollingers Band
2021-07-15,148.339996,149.309998,147.839996,148.960007,148.579056,1733600,57.962519392479976,Down,Inbetween Bollingers Band
2021-07-16,149.330002,149.820007,148.270004,148.929993,148.549133,2169800,57.50322975928932,Down,Inbetween Bollingers Band
2021-07-19,147.660004,147.970001,146.949997,147.580002,147.202591,1835100,40.60941622952951,Down,Inbetween Bollingers Band
2021-07-20,148.449997,151.25,147.830002,149.300003,148.918182,2246000,58.66160058377475,Down,Inbetween Bollingers Band
2021-07-21,149.490005,149.910004,147.600006,148.949997,148.569077,2255700,54.713435948404246,Down,Inbetween Bollingers Band
2021-07-22,149.710007,150.5,148.669998,150.300003,149.915634,1972800,65.24092909851586,Down,Above Upper  Band
2021-07-23,150.589996,152.410004,150.429993,152.309998,151.920486,2132000,75.23919564491815,Down,Above Upper  Band
2021-07-26,151.729996,152.169998,149.770004,150.25,149.865753,1767700,55.98425045703915,Down,Inbetween Bollingers Band
2021-07-27,149.289993,150.0,148.860001,149.949997,149.566513,2085700,53.651382799078725,Down,Inbetween Bollingers Band
2021-07-28,150.0,151.970001,149.5,151.460007,151.072662,2179700,62.76297529842386,Down,Above Upper  Band
2021-07-29,151.990005,153.460007,151.419998,152.669998,152.279572,1527300,68.54411149737433,Down,Above Upper  Band
2021-07-30,152.520004,153.600006,152.020004,153.229996,152.838135,2310100,70.97701236372455,UP,Above Upper  Band
2021-08-02,154.050003,154.300003,152.520004,153.070007,152.678543,1438300,69.19311012262324,UP,Above Upper  Band
2021-08-03,153.710007,153.970001,152.759995,153.860001,153.466522,1859700,73.08921014024942,UP,Above Upper  Band
2021-08-04,153.960007,154.710007,153.490005,154.270004,153.875473,1786700,75.00332463383603,UP,Above Upper  Band
2021-08-05,154.460007,155.160004,153.339996,155.039993,154.643509,1667600,78.37371685500021,UP,Above Upper  Band
2021-08-06,154.759995,155.889999,154.470001,155.699997,155.301819,1209300,80.94318989327279,UP,Above Upper  Band
2021-08-09,156.080002,156.800003,155.009995,156.539993,156.139664,982900,83.80098342898381,UP,Above Upper  Band
2021-08-10,156.919998,157.600006,155.899994,156.520004,156.11972,1575900,83.45343109219564,UP,Inbetween Bollingers Band
2021-08-11,156.690002,156.990005,155.850006,156.520004,156.11972,1402500,83.45343109219564,UP,Inbetween Bollingers Band
2021-08-12,156.509995,158.520004,156.119995,158.149994,157.745544,1376100,88.66811591803672,UP,Inbetween Bollingers Band
2021-08-13,158.399994,159.270004,157.389999,159.229996,158.822784,1733200,90.88795584644575,UP,Inbetween Bollingers Band
2021-08-16,159.389999,162.520004,158.5,162.070007,161.655533,2154300,94.30846796507663,UP,Above Upper  Band
2021-08-17,161.729996,161.839996,159.289993,160.910004,160.498489,2614200,79.99830240157864,UP,Inbetween Bollingers Band
2021-08-18,163.199997,165.360001,162.089996,163.020004,162.603104,2860900,84.87018795728434,UP,Above Upper  Band
2021-08-19,161.740005,169.080002,161.610001,167.669998,167.241196,2179600,90.69646971960228,UP,Above Upper  Band
2021-08-20,167.830002,170.740005,167.050003,168.130005,167.700043,2023300,91.09237841205697,UP,Above Upper  Band
2021-08-23,169.429993,170.570007,168.130005,170.0,169.565247,2061400,92.58818964814611,UP,Above Upper  Band
2021-08-24,170.229996,171.210007,169.220001,170.570007,170.133804,1238600,93.00586922736926,UP,Inbetween Bollingers Band
2021-08-25,170.070007,173.539993,170.070007,173.300003,172.856812,1411800,94.68077095840826,UP,Above Upper  Band
